Species,Plant,AreaSection,AreaBSVein,AreaVein,AreaMesophyll,AreaBS,MBSRatio,PhotoType
astrocarpus,1,135876.0497,37646.58888,6061.375966,98229.46084,31585.21292,3.109982545,C2minus
astrocarpus,3,117432.7438,23335.03641,2561.403835,94097.70734,20773.63258,4.529670339,C2minus
astrocarpus,vc1,107412.1674,31118.55306,3420.175015,76293.61437,27698.37805,2.754443392,C2minus
cistoides,1,188028.9462,49226.8319,5931.276011,138802.1143,43295.55589,3.205920595,C4
cistoides,2,102275.4255,22261.11957,5127.916914,80014.30589,17133.20266,4.670131293,C4
cistoides,E,220338.6965,58081.52497,6969.660375,162257.1715,51111.8646,3.174550035,C4
cristatus,1,228272.6107,25018.34683,2864.892985,203254.2639,22153.45385,9.174834104,C2
cristatus,vc2,165315.3798,33245.34594,3510.469307,132070.0338,29734.87663,4.441586741,C2
cristatus,vc3,349033.1451,45675.25639,4401.800312,303357.8887,41273.45608,7.349951215,C2
cristatus,vc4,208630.6759,30651.52163,3546.930737,177979.1543,27104.59089,6.566384086,C2
forrestii,3,103077.4376,28599.6953,5241.527943,74477.74227,23358.16736,3.18850966,C3
forrestii,4,115481.6625,26218.78716,6412.195303,89262.8753,19806.59185,4.506725637,C3
forrestii,5,141533.3773,26616.47221,5715.433636,114916.9051,20901.03857,5.498143296,C3
hirsutus,2,290060.9394,61662.6412,9938.271032,228398.2982,51724.37017,4.415680605,C3
hirsutus,3,164458.5129,23896.03151,3277.255499,140562.4814,20618.77601,6.817207838,C3
hirsutus,vc2,226292.3138,44868.73885,8221.518282,181423.575,36647.22057,4.950541191,C3
hirsutus,vc3,342193.8633,56121.89729,5412.919887,286071.966,50708.97741,5.641446163,C3
macrocarpus,1,170514.501,34917.32313,7453.784557,135597.1778,27463.53857,4.937352756,C3
macrocarpus,2,87621.55358,24905.61831,7518.997102,62715.93527,17386.62121,3.60713761,C3
macrocarpus,5,253388.9157,47725.82863,13672.06079,205663.0871,34053.76784,6.039363635,C3
macropterus,1,137525.8714,34952.34468,5831.459944,102573.5267,29120.88474,3.52233552,C4
macropterus,2,141269.7403,34724.14722,3885.069857,106545.593,30839.07736,3.454889126,C4
macropterus,5,172070.2196,29021.67249,3135.450728,143048.5471,25886.22176,5.526049666,C4
occidentalis,1,121389.1108,54193.29667,10679.25089,67195.81413,43514.04578,1.54423274,C4
occidentalis,2,125116.1192,43674.70831,6304.157996,81441.41089,37370.55031,2.179293861,C4
occidentalis,3,74104.44226,29302.72741,3138.980752,44801.71485,26163.74666,1.712358533,C4
platypterus,4,169293.1592,24941.75461,4382.060048,144351.4046,20559.69456,7.021087018,C3
platypterus,5,87741.66729,20857.56354,4314.71091,66884.10375,16542.85263,4.04308164,C3
platypterus,6,202096.4625,39745.88474,8992.874926,162350.5778,30753.00981,5.279176862,C3